mol_smi,bbs_smi
COc1cccc(OC)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CC(F)(F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(F)(F)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CC(F)(F)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(F)(F)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(F)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(F)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
O=C1[C@H](O)C[C@@H](c2c(F)cccc2OCCF)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(F)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CC[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)F)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1[C@@H](C)c1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*][C@@]([H])(C)c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(OC(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(OC(F)F)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1[C@@H](C)c1cnc(OC(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*][C@@]([H])(C)c1cnc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)F)nc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)nc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)CC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1[C@H]1CCc2ccc(OC(F)(F)F)cc21,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*][C@@]1([H])CCc2ccc(OC(F)(F)F)cc21
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)F)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)F)n1
COc1cccc(OC)c1[C@@H]1[C@H]2C[C@@H]2C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)[C@@]2([H])C[C@@]21[H].[*]Cc1ccc(OC(F)(F)F)cc1
CC[C@@H](c1ccc(OC(F)(F)F)cc1)N1C(=O)CCC[C@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*][C@@]([H])(CC)c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc(OC(F)F)ccn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc(OC(F)F)ccn1
COc1cccc(OC)c1[C@@H]1C[C@H](c2ccccc2)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(c2ccccc2)CC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CC[C@@H](c1ccc(OC(F)(F)F)cc1)N1C(=O)[C@@H](C)C[C@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*][C@@]([H])(CC)c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1[C@H]1CCc2ccc(OC(F)(F)F)cc21,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*][C@@]1([H])CCc2ccc(OC(F)(F)F)cc21
COc1cccc(OC)c1[C@@H]1CC(C)(C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(C)(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2sc(C)nc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2sc(C)nc2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2n1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccc2cc(CN3C(=O)CCC[C@H]3c3c(OC)cccc3OC)ccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2cc(OC)ccc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc2ccccc2n1C,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc2ccccc2n1C
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(OC(F)(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(OC(F)(F)F)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](OC)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(OC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cnc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2sccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2sccc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(OC(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(OC(F)F)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(Oc2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(Oc2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cnc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cnc2ccccc2c1
COc1cc(Cl)cc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cc(Cl)cc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)F)cn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)F)cn1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2oc(C)nc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2oc(C)nc2c1
COc1cccc(OC)c1[C@@H]1[C@@H](CF)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])CF.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(c1)OC(F)(F)O2,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(c1)OC(F)(F)O2
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@@H](F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(F)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OCCF)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OCCF)cc1
COc1cc(OC)c([C@@H]2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,[*]c1c(OC)cc(OC)cc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)F)nc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)F)nc1
COc1cccc(OC)c1[C@@H]1[C@@H](C#N)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C#N.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(Oc2ccccc2)nc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(Oc2ccccc2)nc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccccc1Oc1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1Oc1ccccc1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc2ccccc2n1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(ccn2C)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(ccn2C)c1
C=C1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(=C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CC[C@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(CC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cnc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OCC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OCC(F)(F)F)cc1
COc1ccc(CN2C(=O)CCC[C@H]2c2c(OC)cccc2OC)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(OC(F)F)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(OC(F)F)n1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(Cl)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(Cl)cc1
COc1cccc(F)c1[C@@H]1C[C@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(O)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc2ccccc2s1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc2ccccc2s1
CCOc1ccccc1[C@@H]1CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OCC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(O)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CC(=O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(=O)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COC[C@H]1CC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])COC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(N2CCCC2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(N2CCCC2)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-c2ccccc2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-c2ccccc2)cc1
COC(=O)[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(=O)OC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCC(C)(C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(C)(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc2ccccc2o1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc2ccccc2o1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-n2cccc2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-n2cccc2)cc1
COc1ccccc1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2c1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1CC(C)(C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(C)(C)CC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-n2cccn2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-n2cccn2)cc1
COc1cc(OC)c([C@@H]2CCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,[*]c1c(OC)cc(OC)cc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccccc1-c1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1-c1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@@H](N)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(N)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(c1)CCCN2,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(c1)CCCN2
COc1cccc(OC)c1[C@@H]1[C@@H](NC(=O)OCc2ccccc2)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])NC(=O)OCc1ccccc1.[*]Cc1ccc(OC(F)(F)F)cc1
COC[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])COC.[*]Cc1ccc(OC(F)(F)F)cc1
