mol_smi,bbs_smi
COc1cccc(OC)c1[C@@H]1[C@@H](CO)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])CO.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](CO)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])CO.[*]Cc1ccc(OC(F)(F)F)cc1
COC(=O)[C@H]1CC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(=O)OC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2nonc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2nonc2c1
CN[C@@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(NC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
O=C1CCC[C@@H](c2ccccc2)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCC[C@@H](c2ccccc2)N1Cc1ccc2ccccc2c1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1[C@@H](C#N)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C#N.[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1Cc1ccccc1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@@H](OC)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(OC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccccc1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@@H](N(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(N(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CCO[C@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(OCC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(OC(F)F)ccn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(OC(F)F)ccn1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cnc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cnc2ccccc2c1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1CCc1ccccc1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]CCc1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@H](NC(=O)OC(C)(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(NC(=O)OC(C)(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](N(C)C)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])N(C)C.[*]Cc1ccc(OC(F)(F)F)cc1
CN[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])NC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](OCc2ccccc2)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(OCc2ccccc2)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](N)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])N.[*]Cc1ccc(OC(F)(F)F)cc1
CN[C@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(NC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@@H](OC(=O)c2ccc([N+](=O)[O-])cc2)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(OC(=O)c2ccc([N+](=O)[O-])cc2)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(C)C)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(C)C.[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccc([C@@H]2CCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,[*]c1ccc(OC)cc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(N)=O)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(N)=O.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(=O)N(C)C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(=O)N(C)C.[*]Cc1ccc(OC(F)(F)F)cc1
CNC(=O)[C@H]1CC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(=O)NC.[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1Cc1ccc2ccccc2c1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](N)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(N)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(S(C)(=O)=O)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(S(C)(=O)=O)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](N(C)C(=O)OCc2ccccc2)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])N(C)C(=O)OCc1ccccc1.[*]Cc1ccc(OC(F)(F)F)cc1
C=C(C)[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(=C)C.[*]Cc1ccc(OC(F)(F)F)cc1
CNC[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])CNC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](N(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(N(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(=O)O)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(=O)O.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1CCc1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]CCc1ccccc1
COc1cccc(OC)c1[C@@H]1[C@@H](COCc2ccccc2)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])COCc1ccccc1.[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccccc1[C@@H]1CCCC(=O)N1Cc1ccccc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
COc1ccccc1[C@@H]1CCCC(=O)N1CCc1ccccc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]CCc1ccccc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1c1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1c1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]c1ccccc1
O=C1CCC[C@@H](c2ccccc2)N1Cc1ccccc1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
O=C1CCC[C@@H](c2ccccc2)N1CCc1ccccc1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]CCc1ccccc1
COc1ccccc1[C@@H]1CCCC(=O)N1c1ccccc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]c1ccccc1
COc1ccccc1[C@@H]1CCCC(=O)N1c1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]c1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(c1)nnn2C,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(c1)nnn2C
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cn2ccsc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cn2ccsc2n1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc(F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](N(C)C(=O)OC(C)(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(N(C)C(=O)OC(C)(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CCOc1ccccc1[C@@H]1CCC(=O)N1Cc1ccc(F)cc1,[*]c1ccccc1OCC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(=O)O)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(=O)O.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(N)=O)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(N)=O.[*]Cc1ccc(OC(F)(F)F)cc1
CNC(=O)[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(=O)NC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](C(=O)N(C)C)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C(=O)N(C)C.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ncccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ncccc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2nsnc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2nsnc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cn2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cn2ccccc2n1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2n1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)c(Cl)c1
CCCOc1ccc(CN2C(=O)CCCC2c2c(OC)cccc2OC)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OCCC)cc1
CCOc1ccc(CN2C(=O)CCCC2c2c(OC)cccc2OC)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OCC)cc1
CCOc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)F)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)c(F)c1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)c(F)c1
COc1cc(F)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cc(F)cc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC(C)C)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC(C)C.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(C)C)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(C)C)cc1
COc1cc(C)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cc(C)cc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(Oc2ccccc2)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(Oc2ccccc2)cc1
CCOc1cccc(OCC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OCC)cccc1OCC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OCCCO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCCCO.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OCC2CC2)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OCC2CC2)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(C(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(C(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(SC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(SC(F)(F)F)cc1
COc1cccc(OCCO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCCO.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc2c(c1)OCO2,[*]c1c(OC)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc2c(c1)OCO2
COc1cccc(OCC2CC2)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCC1CC1.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)cc(F)cc2F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cc(F)cc1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)ccc(F)c2F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)ccc(F)c1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)ccc(Cl)c2F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)ccc(Cl)c1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COCCOc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCCOC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
Cc1ccc(F)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c1Cl,[*]c1c(F)ccc(C)c1Cl.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC(F)F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)cccc2Cl)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1Cl.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
Cc1ccc(Cl)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c1F,[*]c1c(Cl)ccc(C)c1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)cccc2F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(Cl)cccc2Cl)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(Cl)cccc1Cl.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)cccc2C(F)(F)F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1C(F)(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CCOc1ccccc1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OCC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccc(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,[*]c1ccc(OC)cc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(C)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(C)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cc(F)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(F)c1,[*]c1c(F)cc(OC)cc1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(Cl)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(Cl)cccc1OC.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
Cc1ccc(F)c(C2CCCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c1F,[*]c1c(F)ccc(C)c1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OCCC(F)(F)F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCCC(F)(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
Cc1cccc(C)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(C)cccc1C.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(F)ccc(Cl)c2C(F)(F)F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)ccc(Cl)c1C(F)(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
