mol_smi,bbs_smi
O=C1CCCC(c2ccccc2OC(F)(F)F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OC(F)(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCCC(c2c(C(F)(F)F)ccc(Cl)c2F)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(C(F)(F)F)ccc(Cl)c1F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(Oc2ccccc2)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1Oc1ccccc1.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CC(C)Oc1cccc(OC(C)C)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC(C)C)cccc1OC(C)C.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OCc2ccccc2)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OCc1ccccc1.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(C(F)(F)F)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1C(F)(F)F.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC[C@H](O)CO)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC[C@]([H])(O)CO.[*]C1CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2nccs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2nccs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-n2nccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-n2nccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2cscn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2cscn2)c1
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(F)c(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(F)c(-c2ccccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(N2CCCC2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(N2CCCC2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-n2cccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-n2cccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ncccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ncccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2cncs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2cncs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-n2cccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-n2cccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)(F)C(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)C(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2noc(C)n2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2noc(C)n2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1csc(-c2ccccc2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1csc(-c2ccccc2)n1
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2sc(C)nc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2sc(C)nc2c1
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2nc(Cl)cs2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2nc(Cl)cs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2cccnc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2cccnc2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(N2CCCCC2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(N2CCCCC2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2ccccc2c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2nc(C)cs2)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2nc(C)cs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ccccn2)c1F,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1F
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2nc(Cl)cs2)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2nc(Cl)cs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc(Cl)cc(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc(Cl)cc(-c2ccccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ccccc2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccc2)n1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc2cc(F)ccc2n1C,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc2cc(F)ccc2n1C
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc2ccccc2n1C,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc2ccccc2n1C
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(C)C)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(C)C)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2c(c1)c1ccccc1n2C,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2c(c1)c1ccccc1n2C
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2nc(Cl)cs2)c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2nc(Cl)cs2)c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2nc(C)sc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2nc(C)sc2c1
Cc1nc(-c2cccc(CN3C(=O)[C@@H](C)C[C@H]3c3ccccc3-c3ccccc3)c2)cs1,[*]c1ccccc1-c1ccccc1.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2ncc(C)s2)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(-n2cccn2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-n2cccn2)n1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OCC(F)(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OCC(F)(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OCC(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OCC(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)c(F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)c(F)c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2nc(C)cs2)c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2nc(C)cs2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)C(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)C(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2c(ccn2C)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2c(ccn2C)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2ccccc2n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2ccccc2n1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cnn(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cnn(-c2ccccc2)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1csc(-c2ccc(C)cc2)n1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1csc(-c2ccc(C)cc2)n1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(C)C)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(C)C)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(SC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(SC(F)(F)F)cc1
COc1cc(CN2C(=O)[C@@H](C)C[C@H]2c2c(OC)cccc2OC)ccc1OC(F)F,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)c(OC)c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-c2ncc(C)s2)c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-c2ncc(C)s2)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)(F)F)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)F)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-n2cccn2)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-n2cccn2)c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1csc(-c2ccc(C)cc2)n1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1csc(-c2ccc(C)cc2)n1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OCC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OCC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cc2ccccc2[nH]1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc2ccccc2n1[H]
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OCCF)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OCCF)c1
C[C@H]1C[C@@H](c2ccccc2-c2ccccc2)N(Cc2cccc(-c3ccccc3)c2)C1=O,[*]c1ccccc1-c1ccccc1.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1ccc(OC(F)(F)F)cc1CN1C(=O)[C@@H](C)C[C@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cc(OC(F)(F)F)ccc1OC
CCOc1cccc(CN2C(=O)[C@@H](C)C[C@H]2c2c(F)cccc2OCC)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OCC)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccccc1OC(F)(F)F,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccccc1OC(F)(F)F
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OCC(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OCC(F)F)cc1
COc1ccnc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1csc(-c2ccc(C)cc2)n1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1csc(-c2ccc(C)cc2)n1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)F)c(Cl)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc2[nH]ccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc2c(ccn2[H])c1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccnc(-n2cccn2)c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccnc(-n2cccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OCCF)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OCCF)cc1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)F)cc1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)F)cc1
COc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cnc2ccccc2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cnc2ccccc2c1
COc1ccc(CN2C(=O)[C@@H](C)C[C@H]2c2c(OC)cccc2OC)cc1OC(F)(F)F,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC)c(OC(F)(F)F)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OC(F)F)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OC(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1cccc(OCCO)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1cccc(OCCO)c1
