mol_smi,bbs_smi
COc1cccc(OCCF)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-n2cccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-n2cccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](F)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2cncs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2cncs2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(Cl)cc(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(Cl)cc(-c2ccccn2)c1
COc1cc(F)cc(OCCF)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(F)cc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccncc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccncc2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](F)C(=O)N1Cc1ccnc(-c2nc(C)cs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(F)C(=O)N1[*].[*]Cc1ccnc(-c2nc(C)cs2)c1
COc1cc(F)cc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(F)cc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1ccnc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2nccs2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2nccs2)c1
COc1cccc(OC(F)F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OC(F)F.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)n1
COc1cccc(OCC(F)F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OCC(F)F.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1cccc(-n2cccn2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-n2cccn2)n1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccnc(-c2nc(C)c(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccnc(-c2nc(C)c(C)s2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccnc(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccnc(-c2ccccn2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2nc(C)cs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2nc(C)cs2)c1
COc1ccnc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2noc(C)n2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2noc(C)n2)c1
COc1cncc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2nccs2)c1,[*]c1c(OC)cncc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2nccs2)c1
COc1ccc(Cl)c(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)ccc(Cl)c1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(F)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
COc1cc(F)cc(OCC(F)F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(F)cc1OCC(F)F.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1ccc2c(c1)c1ccccc1n2C,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1ccc2c(c1)c1ccccc1n2C
COc1cncc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cncc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1csc(-c2ccccc2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1csc(-c2ccccc2)n1
CCOc1cccc(F)c1[C@@H]1C[C@H](F)C(=O)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
COc1cncc(OC)c1[C@@H]1CCCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cncc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(c1)c1ccccc1n2C,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(c1)c1ccccc1n2C
COc1ccc2nc(C)oc2c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)ccc2nc(C)oc12.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1ccc2ncoc2c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)ccc2ncoc12.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cccc(-c2ccccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1
COc1ccc2c(c1[C@@H]1CCCC(=O)N1Cc1cccc(-c3ccccc3)c1)OCO2,[*]c1c(OC)ccc2c1OCO2.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2nc(Cl)cs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2nc(Cl)cs2)c1
O=C1[C@@H](F)C[C@@H](c2c(F)cccc2OCCF)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(F)cccc1OCCF.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
COc1cc(Cl)cc(OCCF)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(Cl)cc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccnc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccnc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2csc(C)n2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cc(Cl)cc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(Cl)cc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OCC(F)(F)F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cccc1OCC(F)(F)F.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1cccc2ccccc12,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc2ccccc12
COc1cccc(OC)c1[C@@H]1C[C@@H](F)C(=O)N1Cc1ccc(F)c(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(F)C(=O)N1[*].[*]Cc1ccc(F)c(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2cccnc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2cccnc2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccn2)c1F,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1F
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(-c2ccccn2)ccc1F,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(-c2ccccn2)ccc1F
COc1cc(Cl)cc(OCC(F)(F)F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(OC)cc(Cl)cc1OCC(F)(F)F.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
CCOc1cccc(F)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
COc1ccnc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccn2)c1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1
Cc1nc(-c2cccc(CN3C(=O)CCCC[C@H]3c3ccccc3-c3ccccc3)c2)cs1,[*]c1ccccc1-c1ccccc1.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
Cc1nc(-c2cccc(CN3C(=O)CC[C@H]3c3ccccc3-c3ccccc3)c2)cs1,[*]c1ccccc1-c1ccccc1.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
O=C1CCCC[C@@H](c2ccccc2-c2cscn2)N1Cc1cccc(-c2nccs2)c1,[*]c1ccccc1-c1cscn1.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2nccs2)c1
O=C1[C@H](O)C[C@@H](c2c(F)cccc2OCCF)N1Cc1ccc2sc3ccccc3c2c1,[*]c1c(F)cccc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2sc3ccccc3c2c1
O=C1[C@@H](F)C[C@@H](c2c(F)cccc2OCCF)N1Cc1ccc(Cl)c(OC(F)(F)C(F)F)c1,[*]c1c(F)cccc1OCCF.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc(Cl)c(OC(F)(F)C(F)F)c1
COc1ccc2c(c1[C@@H]1CCCC(=O)N1Cc1csc(-c3ccccc3)n1)OCO2,[*]c1c(OC)ccc2c1OCO2.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1csc(-c2ccccc2)n1
CCOc1cccc(F)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1cccc(OC(F)(F)C(F)F)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)C(F)F)c1
O=C1[C@@H](Cl)C[C@@H](c2c(F)cccc2OC2CCC2)N1Cc1cccc(OC(F)(F)F)c1,[*]c1c(F)cccc1OC1CCC1.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)F)c1
COc1ccc2ccccc2c1[C@@H]1CCCC(=O)N1Cc1cccc(Oc2ccccc2)c1,[*]c1c(OC)ccc2ccccc12.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(Oc2ccccc2)c1
COc1cccc(OCCF)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OCCF.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-c2ccccc2)s1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-c2ccccc2)s1
COc1ccc2ncoc2c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)ccc2ncoc12.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccc(F)cc2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccc(F)cc2)n1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1cnn(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cnn(-c2ccccc2)c1
CCOc1cccc(F)c1[C@@H]1C[C@H](F)C(=O)N1Cc1cccc(OC(F)(F)C(F)F)c1,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1cccc(OC(F)(F)C(F)F)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cc(F)cc(-c2nc(C)cs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cc(F)cc(-c2nc(C)cs2)c1
COc1cncc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccn2)c1,[*]c1c(OC)cncc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccn2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-n2ccnc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-n2ccnc2)c1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1cccc(Oc2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(Oc2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc(F)c(-c2ncc(C)s2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc(F)c(-c2ncc(C)s2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc(Oc2nccs2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(Oc2nccs2)cc1
COc1ccnc(OC)c1[C@@H]1CCCC(=O)N1Cc1csc(-c2ccccc2)n1,[*]c1c(OC)ccnc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1csc(-c2ccccc2)n1
COc1cccc(F)c1[C@@H]1CC(F)(F)C(=O)N1Cc1ccc2oc3ccccc3c2c1,[*]c1c(F)cccc1OC.[*][C@]1([H])CC(F)(F)C(=O)N1[*].[*]Cc1ccc2oc3ccccc3c2c1
COc1ccc2c(c1[C@@H]1CCCC(=O)N1Cc1cccc(Oc3ccccc3)c1)OCO2,[*]c1c(OC)ccc2c1OCO2.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(Oc2ccccc2)c1
CCOc1cccc(OC)c1[C@@H]1CC(=O)C(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cccc1OCC.[*][C@]1([H])CC(=O)C(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
Cc1nc(-c2cccc(CN3C(=O)CCCC[C@H]3c3c(C)cccc3-c3ccccc3)c2)cs1,[*]c1c(C)cccc1-c1ccccc1.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc(-c2ccccc2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(-c2ccccc2)cc1
Cc1nc(-c2cccc(CN3C(=O)CCCC[C@H]3c3c(Cl)cccc3-c3ccccc3)c2)cs1,[*]c1c(Cl)cccc1-c1ccccc1.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccn2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccn2)n1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1cccc(-c2nccs2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1cccc(-c2nccs2)c1
Cc1nc(-c2cccc(CN3C(=O)CCCC[C@H]3c3c(F)cccc3-c3ccccc3)c2)cs1,[*]c1c(F)cccc1-c1ccccc1.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1cccc(-c2csc(C)n2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-n2cccn2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-n2cccn2)n1
O=C1[C@@H](F)C[C@@H](c2c(F)cccc2OCCF)N1Cc1ccc(Cl)c(OCC(F)(F)F)c1,[*]c1c(F)cccc1OCCF.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc(Cl)c(OCC(F)(F)F)c1
COc1cccc(OC)c1[C@@H]1CCCCC(=O)N1Cc1ccc2nc(C)sc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCCC(=O)N1[*].[*]Cc1ccc2nc(C)sc2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](O)C(=O)N1Cc1ccc2c(c1)-c1nc(C)sc1CC2,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(O)C(=O)N1[*].[*]Cc1ccc2c(c1)-c1nc(C)sc1CC2
COc1cncc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-n2nccn2)c1,[*]c1c(OC)cncc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-n2nccn2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cccc(-n2cccn2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cccc(-n2cccn2)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(-c2ccccc2)ccn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(-c2ccccc2)ccn1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cnn(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cnn(-c2ccccc2)c1
COc1ccc(Cl)c(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)ccc(Cl)c1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(-c2ccccn2)ccc1Cl,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(-c2ccccn2)ccc1Cl
CCOc1cc(CN2C(=O)[C@@H](F)C[C@H]2c2c(F)cccc2OCC)ccc1Cl,[*]c1c(F)cccc1OCC.[*][C@]1([H])C[C@]([H])(F)C(=O)N1[*].[*]Cc1ccc(Cl)c(OCC)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2nccs2)n1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2nccs2)n1
